label,symbol,folds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,cumulative_return_mean,cumulative_return_std,sharpe_mean,sharpe_std,max_drawdown_mean,max_drawdown_std,hit_rate_mean,hit_rate_std,turnover_mean,turnover_std
1D CNN,BTCUSDT,4,0.4948666687690908,0.009228716200790034,0.4993356684522497,0.001879848931478345,0.47120710781048275,0.27636284155085666,0.49767545494362203,0.01235207080415303,-0.12725120422982764,0.1796461292258156,-0.13331977437456627,0.24978659624394559,-0.3123994744840056,0.11220684321894449,0.494769807087572,0.009388472768598671,0.015692118012067914,0.023898501340080567
1D CNN,ETHUSDT,4,0.5019333680385692,0.01539414561230883,0.5020491171929025,0.008283912123090991,0.41076581811909474,0.22536623075482934,0.4975691422268787,0.007436305723439049,0.06649716786756166,0.4589734941938809,0.07058894776145058,0.33643496085832236,-0.4505251015130405,0.11326008227023145,0.5015458837692066,0.01561082228886053,0.12224184499251262,0.17054336093859299
1D CNN,SOLUSDT,4,0.5074099186361876,0.01247025968351701,0.505454102025016,0.01169373066199832,0.43061241808108963,0.19132545516371505,0.5051959430876325,0.017007641349653244,0.08166209463653445,0.32067630468366526,0.1224715689183318,0.20495502863912626,-0.6543312098797728,0.2599702514960011,0.5047943153455935,0.013333652219570358,0.17610058147043542,0.24937775885411514
1D CNN (OHLCV + Funding + Open Interest),BTCUSDT,4,0.4999031007751938,0.00329314834650512,0.5023102095595227,0.006367173962253183,0.5165062213784772,0.15556188592324996,0.49785844121122425,0.012282261247951183,-0.030583416975408784,0.12254002314519333,-0.007871646733068935,0.1864473452029922,-0.2651803707729826,0.09043867077340963,0.49980620155038763,0.003406665858768783,0.014147286821705428,0.014914928119990043
1D CNN (OHLCV + Funding + Open Interest),ETHUSDT,4,0.506346241707771,0.011036557560072493,0.5011646787220544,0.0018289767357583997,0.4964373407863367,0.28700101216006074,0.5010046185423958,0.005717660192944137,0.16974226487781272,0.4734566137924535,0.1166392077233526,0.35983308628796873,-0.4520535414113058,0.11810063189653291,0.5060554313161463,0.011388461389294082,0.004844998812712096,0.0068545256390031275
1D CNN (OHLCV + Funding + Open Interest),SOLUSDT,4,0.5083803750724585,0.006879780419410488,0.5044340408116301,0.007732517250240164,0.6039285795527795,0.1068462965988331,0.49841417986713654,0.01298561444030261,0.025259074413503696,0.3720102458873996,0.027046622235161133,0.31787771888339966,-0.6448893170978274,0.28820317079827174,0.5077992049833457,0.0064185331399077535,0.00465074981453616,0.004918085909242076
1D CNN (OHLCV + Funding),BTCUSDT,4,0.4956414495913789,0.00948733450211157,0.5,0.0,0.5006426522199073,0.2890527955191131,0.5068857714803026,0.011009376229415944,-0.0970541610553976,0.21267884010296548,-0.10372360677822645,0.2844111443770052,-0.3094675205618098,0.11329080161652207,0.4955445879098601,0.009650586889586643,0.00038752181264998544,7.508657482075982e-08
1D CNN (OHLCV + Funding),ETHUSDT,4,0.5011606145247205,0.00999313681376203,0.4980654625403957,0.0033847254810055174,0.40761360539276326,0.24334633702702324,0.5034814760813053,0.007224426757664161,0.07010973420624536,0.42243197917423525,0.07224341193338024,0.30697875814197034,-0.45867140706361575,0.13377810581481417,0.500773130255358,0.010221426931809115,0.02770792237974009,0.024075197258725548
1D CNN (OHLCV + Funding),SOLUSDT,4,0.501113346188155,0.008302792991045516,0.49922314401183404,0.0019846129924477257,0.485808039163385,0.2121921030096699,0.5047414693010761,0.015523483379803188,0.059278315713851004,0.4114718379705911,0.057193352943909315,0.2907010565436409,-0.4934655177464241,0.14866378748974712,0.4992726363497112,0.00950054449049892,0.03429072470558554,0.02696687857743825
1D CNN (OHLCV + Open Interest),BTCUSDT,4,0.5059108527131783,0.008524378519568636,0.5001910984192915,0.0003309921714591072,0.6716842842986167,0.007635667722134366,0.5071788672798387,0.007921207255379124,0.10461554868696374,0.24559698729000284,0.1141741083118194,0.28019060849193156,-0.2619220479450764,0.08076642798180164,0.5059108527131783,0.008524378519568636,0.0007751937984496124,0.0006713375223135183
1D CNN (OHLCV + Open Interest),ETHUSDT,4,0.5111925179821516,0.0059576340473321415,0.5005029121612725,0.0017039292441520658,0.6215922848041519,0.09604190299112092,0.49901906770967785,0.009033850899959995,0.12373861538032294,0.3254129161850529,0.13529845676726523,0.23047999856181425,-0.49020431837259004,0.1344457805370189,0.5111925179821516,0.0059576340473321415,0.0077519755568981425,0.006140644676312672
1D CNN (OHLCV + Open Interest),SOLUSDT,4,0.5066366770886833,0.004727441197322694,0.49948900490742654,0.001119137021200596,0.6713936353244618,0.0033932540684802623,0.5033475650143808,0.013305385324800339,-0.0030051232908563374,0.30726051562703866,0.02582372985606518,0.26940499558732955,-0.5044111456966421,0.1354362145673762,0.5066366770886833,0.004727441197322694,0.002713140751286233,0.0031962332286303028
