label,symbol,folds,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,cumulative_return_mean,cumulative_return_std,sharpe_mean,sharpe_std,max_drawdown_mean,max_drawdown_std,hit_rate_mean,hit_rate_std,turnover_mean,turnover_std
1D CNN (OHLCV + Open Interest),BTCUSDT,4,0.5059108527131783,0.008524378519568636,0.5001910984192915,0.0003309921714591072,0.6716842842986167,0.007635667722134366,0.5071788672798387,0.007921207255379124,0.10461576988475396,0.24559647472084314,0.11417191397378469,0.28019396684143644,-0.2617167228998989,0.08062445474249362,0.5059108527131783,0.008524378519568636,0.0007751937984496124,0.0006713375223135183
1D CNN (OHLCV + Open Interest),ETHUSDT,4,0.5111925179821516,0.0059576340473321415,0.5005029121612725,0.0017039292441520658,0.6215922848041519,0.09604190299112092,0.49901906770967785,0.009033850899959995,0.12374381755771408,0.32540865176724165,0.13530023642579916,0.2304719553164935,-0.49023612296740054,0.13453953031829596,0.5111925179821516,0.0059576340473321415,0.0077519755568981425,0.006140644676312672
1D CNN (OHLCV + Open Interest),SOLUSDT,4,0.5066366770886833,0.004727441197322694,0.49948900490742654,0.001119137021200596,0.6713936353244618,0.0033932540684802623,0.5033475650143808,0.013305385324800339,-0.00300072091745604,0.30726847898617693,0.0258338011258301,0.26941192220649035,-0.5043952825397859,0.13529451873911288,0.5066366770886833,0.004727441197322694,0.002713140751286233,0.0031962332286303028
LogReg,BTCUSDT,4,0.5106558661690825,0.006982161562638518,0.5065541724042593,0.009147964841134707,0.6387811748207552,0.02046840708376551,0.517494665396344,0.016235121009720806,-0.24166639884506955,0.2083196831211334,-0.30831983978470734,0.32650349007184554,-0.37534107156216306,0.13135193620809368,0.5105607367931312,0.0070048253247770986,0.4669516854303658,0.22771614227559314
LogReg,ETHUSDT,4,0.5123668559811583,0.0003572520243352985,0.5149661478064741,0.0027946630107946297,0.4407799970959998,0.02306314030873114,0.5162806386388412,0.0108886387914202,-0.314541302154157,0.14493038793251428,-0.24931781877041503,0.16136649969902866,-0.5774858959540812,0.06889257367342676,0.5118912452584774,0.0006105681220890485,0.871206255446312,0.05748053864035107
LogReg,SOLUSDT,4,0.5138414871556876,0.008233123623983547,0.5156410961877576,0.008797432553647058,0.4656118608233824,0.016302670125619208,0.5197079599492843,0.007217947137319569,-0.39852235990290913,0.19679602058541631,-0.28958501631665934,0.2126703295177447,-0.9524377346059936,0.2079894284689481,0.5114629992717008,0.008110580403005644,0.9304589052683785,0.04756782699714888
Majority,BTCUSDT,4,0.5055178297147234,0.008241710276536023,0.5,0.0,0.6715138283799942,0.007233703631220188,0.5,0.0,0.09180776292727624,0.24432850190534308,0.09738432849829147,0.27369168840209984,-0.2590911405081744,0.08040959518652044,0.5055178297147234,0.008241710276536023,0.00038058992814925675,7.242434408170537e-08
Majority,ETHUSDT,4,0.5097980374443417,0.008618174712024536,0.5,0.0,0.6752763153081208,0.007567680546237168,0.5,0.0,0.11128475059438075,0.4497144819245467,0.09219149368506045,0.33312011885419107,-0.45893919177080306,0.12425309201673705,0.5097980374443417,0.008618174712024536,0.0003805175313534231,1.0238453424646352e-07
Majority,SOLUSDT,4,0.5076588381744662,0.006086174720813638,0.5,0.0,0.6734183190241578,0.005355760608398633,0.5,0.0,0.010189947809670585,0.34410805036955217,0.028879370687423148,0.2861077674764627,-0.5086301321829318,0.13252208364526885,0.5076588381744662,0.006086174720813638,0.0003805537159772159,6.272132182718201e-08
Persistence,BTCUSDT,4,0.4829710812491056,0.014022245288720283,0.4827522011124455,0.01430550241496887,0.4888202684942411,0.010346168283651166,0.48275220111244554,0.0143055024149689,-0.620517434113435,0.10234627914182287,-1.2105743645546085,0.15954720836332748,-0.6361051497484769,0.09621455686529523,0.4829710812491056,0.014022245288720283,1.0332967300698344,0.027691269451091013
Persistence,ETHUSDT,4,0.4814487208615764,0.010270265271748156,0.48108831582594913,0.010142087363963114,0.4914806336705655,0.014198173318397308,0.48108831582594913,0.010142087363963092,-0.5095085820521184,0.13533354243172094,-0.5310969015047808,0.2156408645939519,-0.6019340846787683,0.10146175319655357,0.4811633327061743,0.010351498629225167,1.037102703097987,0.02061816485230341
Persistence,SOLUSDT,4,0.4869157093616866,0.017135008828328684,0.48666848016929726,0.017195311189838067,0.4964995017309105,0.01566752981952101,0.48666848016929726,0.017195311189838063,-0.6020706651032919,0.22649888475737112,-0.7159310997254542,0.537996906429154,-0.6951711720089444,0.14942726442459214,0.48463242327799533,0.01682719534020777,1.0276906875040195,0.033721441386404295
Random,BTCUSDT,4,0.4993342392170291,0.006139704615847204,0.4992589133286441,0.006247137197929979,0.505093005242792,0.002355210006650194,0.5,0.0,-0.5090423507747918,0.035258535959905364,-0.8777821720050131,0.13461677524419322,-0.5531682053437563,0.06067668751855666,0.4992391098410778,0.006042392156130089,1.0013319561120064,0.0007843515436852692
Random,ETHUSDT,4,0.5031399932779321,0.005279527758569956,0.5025488189014102,0.005727170451313065,0.5221877077273835,0.002735737574189891,0.5,0.0,-0.5215499621449022,0.15374030889982093,-0.5561978590016649,0.22953254456475983,-0.6181284840790515,0.13002337448290546,0.5027595119587508,0.005144050574932667,1.02891933238286,0.000269178997708559
Random,SOLUSDT,4,0.49519623810575,0.005614414296243665,0.4953697917477613,0.0055720473117574125,0.49311473856124177,0.005403827960957289,0.5,0.0,-0.5738810879409897,0.15262317228331249,-0.5939242042816572,0.4085376852477944,-0.7864240533178655,0.11821339039073793,0.4936739870296691,0.005054312110229106,0.9983827281844839,0.0011842988295294563
